,Major,Minor,ZipCode,DocumentDate,SalePrice,SqFtLot,SqFtTotLiving,Nuisances,Has_Nuisance,TrafficNoise,PowerLines,OtherNuisances,Is_WaterFrontLocation,WaterFrontLocation,Has_Porch,Has_OpenPorch,Has_EnclosedPorch,View_MtRainier,View_Olympics,View_Cascades,SeattleSkyline,View_PugetSound,View_LakeWashington,View_LakeSammamish,View_SmallLakeRiverCreek,BldgGrade,Has_Deck,Has_Finished_Basement,Has_Attached_Garage
26035,924490,122,98115,2019-03-21,1200000,8300,2350,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,1,1,1
26036,924490,163,98115,2019-11-27,849000,5376,1880,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
26037,924600,290,98115,2019-06-17,624900,4200,2640,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
26038,924600,710,98115,2019-07-19,705000,5199,3320,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
26039,924600,180,98115,2019-10-16,664950,5050,3450,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,1,1
26040,924600,20,98115,2019-12-04,630000,4725,2640,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
26041,924610,110,98115,2019-07-25,711200,6641,3459,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,1,1
26042,924610,220,98115,2019-12-10,725000,6487,3540,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
26043,924610,190,98115,2019-12-23,700000,5176,3460,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
26044,924611,40,98115,2019-03-07,614500,5200,2590,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
26045,924611,210,98115,2019-03-22,627000,4653,2700,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
26046,924611,120,98115,2019-04-24,621000,5866,2590,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
26047,924611,150,98115,2019-05-17,650000,4712,2950,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
26048,924611,80,98115,2019-07-11,649995,5744,2950,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
26049,924611,260,98115,2019-11-04,658875,5423,3050,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,1,1
26050,925090,64,98133,2019-01-30,790000,8062,2230,Traffic Noise,1,1,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,1,0
26051,925090,69,98133,2019-03-01,521700,8373,1680,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,1,0
26052,925090,2,98133,2019-07-26,470000,9724,950,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26053,925090,100,98133,2019-09-04,510000,5636,1290,Traffic Noise,1,1,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,0,0
26054,925090,91,98133,2019-11-27,695000,10032,1830,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,1,1,1
26055,925090,73,98133,2019-06-12,786000,7509,2360,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,1,0,0
26056,925390,33,98008,2019-03-11,2550000,8403,3190,No Nuisances,0,0,0,0,1,Lake Sammamish,0,0,0,0,0,0,0,0,0,4,0,8.0,1,1,1
26057,925390,430,98008,2019-05-28,1400000,29129,1950,No Nuisances,0,0,0,0,1,Lake Sammamish,1,1,0,0,0,0,0,0,0,4,0,4.0,1,0,0
26058,925390,225,98008,2019-06-20,3920000,21243,4730,Traffic Noise,1,1,0,0,1,Lake Sammamish,1,1,0,0,0,0,0,0,0,4,0,10.0,1,1,1
26059,925390,150,98008,2019-09-26,1547150,13381,960,Other Nuisances,1,0,0,1,1,Lake Sammamish,0,0,0,0,0,0,0,0,0,4,0,5.0,1,0,0
26060,925390,95,98008,2019-12-13,1610000,47916,3670,Traffic Noise,1,2,0,0,0,None,1,1,0,0,0,0,0,0,0,1,0,10.0,1,1,1
26061,925390,285,98008,2019-12-16,3580000,33682,3920,Traffic Noise,1,1,0,0,1,Lake Sammamish,1,1,0,0,0,0,0,0,0,4,0,7.0,1,1,0
26062,926280,4,98001,2019-01-10,345000,15000,1460,Traffic Noise,1,1,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26063,926280,198,98001,2019-03-11,76165,28143,2041,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0
26064,926280,23,98001,2019-05-24,610000,10680,3245,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,0,0,1
26065,926280,48,98001,2019-08-16,300000,24564,1820,No Nuisances,0,0,0,0,0,None,1,0,1,0,0,0,0,0,0,0,0,4.0,0,0,1
26066,926280,349,98001,2019-08-28,360000,16100,1350,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,0,0
26067,926280,217,98001,2019-10-02,355000,14000,1410,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26068,926280,245,98001,2019-10-05,410000,56385,1730,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,1,0
26069,926280,195,98001,2019-11-05,307500,11385,660,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,4.0,0,0,0
26070,926280,219,98001,2019-11-07,388000,16500,1360,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,4.0,0,0,0
26071,926280,425,98001,2019-02-21,531000,31069,1900,Traffic Noise,1,2,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
26072,926401,150,98001,2019-02-24,600000,11250,2760,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,2,0,0,0,0,0,8.0,0,0,1
26073,926401,80,98001,2019-07-19,690500,21837,3120,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,4,0,0,0,0,0,8.0,1,0,1
26074,926403,380,98001,2019-04-15,605500,15142,3140,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,2,0,0,0,0,0,7.0,0,0,1
26075,926403,770,98001,2019-06-25,490000,6884,3060,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,0,0,1
26076,926403,690,98001,2019-09-23,624500,7863,4210,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,3,0,0,0,0,0,7.0,1,1,1
26077,926403,580,98001,2019-10-07,525011,10190,2610,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,2,0,0,0,0,0,7.0,0,0,1
26078,926403,70,98001,2019-10-22,550000,11482,2920,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,7.0,1,0,1
26079,926403,920,98001,2019-11-14,710000,11719,3740,No Nuisances,0,0,0,0,0,None,0,0,0,2,0,3,0,0,0,0,0,7.0,0,1,1
